kind,profile,date,league,match,desc,odds,stake,result
settings,hoods-web,initial,0
settings,hoods-web,currency,$
bet,hoods-web,2025-08-10,,,四串一,1.663,4.55,win
bet,hoods-web,2025-08-11,,,四串一,2.05,4.17,loss
bet,hoods-web,2025-08-12,,,三串一,2.057,10,win
bet,hoods-web,2025-08-14,,,三串一,1.866,10,win
bet,hoods-web,2025-08-15,,,三串一,2.083,10,loss
bet,hoods-web,2025-08-16,,,三串一,1.9095,20,loss
bet,hoods-web,2025-08-17,,,三串一,2.2,22,loss
bet,hoods-web,2025-08-18,,,三串一,2.06375,24,loss
bet,hoods-web,2025-08-19,,,三串一,1.653,20,win
bet,hoods-web,2025-08-20,,,三串一,1.901,10,loss
bet,hoods-web,2025-08-21,,,三串一,1.75,10,loss
bet,hoods-web,2025-08-22,,,三串一,2.091,20,loss
bet,hoods-web,2025-08-23,,,三串一,2.013,20,win
settings,hoods-whatsapp,initial,0
settings,hoods-whatsapp,currency,$
bet,hoods-whatsapp,2025-08-10,,,三串一,1.642,5,win
bet,hoods-whatsapp,2025-08-12,,,三串一,2.28,10,win
bet,hoods-whatsapp,2025-08-13,,,三串一,1.445,10,win
bet,hoods-whatsapp,2025-08-14,,,三串一,1.8,10,loss
bet,hoods-whatsapp,2025-08-15,,,三串一,1.7875,20,win
bet,hoods-whatsapp,2025-08-16,,,三串一,2.095,20,win
bet,hoods-whatsapp,2025-08-17,,,三串一,1.815,18,win
bet,hoods-whatsapp,2025-08-18,,,三串一,1.94,16,win
bet,hoods-whatsapp,2025-08-19,,,三串一,2.044,20,win
bet,hoods-whatsapp,2025-08-22,,,三串一,1.9695,20,win
bet,hoods-whatsapp,2025-08-23,,,三串一,1.8555,20,win
settings,supertips,initial,0
settings,supertips,currency,
bet,supertips,2025-07-14,,,SuperDouble,2,10,win
bet,supertips,2025-07-14,,,SuperTriple,2,10,loss
bet,supertips,2025-07-14,,,SuperOdds,2.5,10,win
bet,supertips,2025-07-15,,,SuperOdds,2.5,10,loss
bet,supertips,2025-07-15,,,SuperDouble,2,10,loss
bet,supertips,2025-07-15,,,SuperTriple,2,10,loss
bet,supertips,2025-07-16,,,SuperTriple,2,10,loss
bet,supertips,2025-07-16,,,SuperDouble,2,10,loss
bet,supertips,2025-07-16,,,SuperOdds,2.5,10,loss
bet,supertips,2025-07-17,,,SuperOdds,2.5,10,loss
bet,supertips,2025-07-17,,,SuperTriple,2,10,win
bet,supertips,2025-07-17,,,SuperDouble,2,10,win
bet,supertips,2025-07-18,,,SuperDouble,2,10,loss
bet,supertips,2025-07-18,,,SuperOdds,2.5,10,loss
bet,supertips,2025-07-18,,,SuperTriple,2,10,win
bet,supertips,2025-07-19,,,SuperTriple,2,10,loss
bet,supertips,2025-07-19,,,SuperOdds,2.5,10,win
bet,supertips,2025-07-19,,,SuperDouble,2,10,loss
bet,supertips,2025-07-20,,,SuperDouble,2,10,win
bet,supertips,2025-07-20,,,SuperOdds,2.5,10,win
bet,supertips,2025-07-20,,,SuperTriple,2,10,loss
bet,supertips,2025-07-21,,,SuperTriple,2,10,win
bet,supertips,2025-07-21,,,SuperOdds,2.5,10,loss
bet,supertips,2025-07-21,,,SuperDouble,2,10,win
bet,supertips,2025-07-22,,,SuperDouble,2,10,loss
bet,supertips,2025-07-22,,,SuperTriple,2,10,win
bet,supertips,2025-07-22,,,SuperOdds,2.5,10,win
bet,supertips,2025-07-24,,,SuperOdds,2.5,10,loss
bet,supertips,2025-07-24,,,SuperTriple,2,10,loss
bet,supertips,2025-07-24,,,SuperDouble,2,10,win
bet,supertips,2025-07-25,,,SuperDouble,2,10,win
bet,supertips,2025-07-25,,,SuperTriple,2,10,win
bet,supertips,2025-07-25,,,SuperOdds,2.5,10,win
bet,supertips,2025-07-26,,,SuperOdds,2.5,10,win
bet,supertips,2025-07-26,,,SuperTriple,2,10,loss
bet,supertips,2025-07-26,,,SuperDouble,2,10,loss
bet,supertips,2025-07-27,,,SuperDouble,2,10,win
bet,supertips,2025-07-27,,,SuperTriple,2,10,win
bet,supertips,2025-07-27,,,SuperOdds,2.5,10,loss
bet,supertips,2025-07-28,,,SuperOdds,2.5,10,win
bet,supertips,2025-07-28,,,SuperTriple,2,10,win
bet,supertips,2025-07-28,,,SuperDouble,2,10,win
bet,supertips,2025-07-30,,,SuperDouble,2,10,loss
bet,supertips,2025-07-30,,,SuperTriple,2,10,loss
bet,supertips,2025-07-30,,,SuperOdds,2.5,10,loss
bet,supertips,2025-07-31,,,SuperOdds,2.5,10,win
bet,supertips,2025-07-31,,,SuperTriple,2,10,loss
bet,supertips,2025-07-31,,,SuperDouble,2,10,win
bet,supertips,2025-08-01,,,SuperDouble,2,10,loss
bet,supertips,2025-08-01,,,SuperTriple,2,10,win
bet,supertips,2025-08-01,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-02,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-02,,,SuperTriple,2,10,loss
bet,supertips,2025-08-02,,,SuperDouble,2,10,win
bet,supertips,2025-08-03,,,SuperDouble,2,10,loss
bet,supertips,2025-08-03,,,SuperTriple,2,10,loss
bet,supertips,2025-08-03,,,SuperOdds,2.5,10,win
bet,supertips,2025-08-04,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-04,,,SuperDouble,2,10,loss
bet,supertips,2025-08-04,,,SuperTriple,2,10,win
bet,supertips,2025-08-06,,,SuperDouble,2,10,loss
bet,supertips,2025-08-06,,,SuperTriple,2,10,loss
bet,supertips,2025-08-06,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-07,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-07,,,SuperTriple,2,10,win
bet,supertips,2025-08-07,,,SuperDouble,2,10,loss
bet,supertips,2025-08-08,,,SuperDouble,2,10,win
bet,supertips,2025-08-08,,,SuperTriple,2,10,win
bet,supertips,2025-08-08,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-09,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-09,,,SuperTriple,2.5,10,loss
bet,supertips,2025-08-09,,,SuperDouble,2.5,10,loss
bet,supertips,2025-08-09,,,SuperDouble,2,10,loss
bet,supertips,2025-08-09,,,SuperTriple,2,10,win
bet,supertips,2025-08-09,,,SuperOdds,2.5,10,win
bet,supertips,2025-08-10,,,SuperOdds,2.5,10,win
bet,supertips,2025-08-10,,,SuperTriple,2,10,loss
bet,supertips,2025-08-10,,,SuperDouble,2,10,win
bet,supertips,2025-08-12,,,SuperDouble,2,10,win
bet,supertips,2025-08-12,,,SuperTriple,2,10,loss
bet,supertips,2025-08-12,,,SuperOdds,2.5,10,win
bet,supertips,2025-08-13,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-13,,,SuperTriple,2,10,loss
